id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
31915615,Traum von Maxvorstadt,72260519,Theresa,,Maxvorstadt,48.15273,11.56462,Private room,,3,0,,,1,0,0,
31938634,BAVARIA BOUTIQUE HOTEL,238680056,Bernd,,Schwanthalerhöhe,48.13616,11.54683,Private room,,5,0,,,1,0,0,
31990329,Kuscheliges Zimmer mit Balkon und Garten,239589517,Miriam,,Allach-Untermenzing,48.17993,11.47489,Private room,90,1,5,2019-10-27,0.07,1,364,0,
32014425,"Warm, Quiet and Simple room",20386232,Jay,,Sendling-Westpark,48.10743,11.50826,Private room,,30,29,2022-09-23,0.40,2,0,0,
32026498,Charming Apartment at Theresienwiese,67416502,Julia,,Ludwigsvorstadt-Isarvorstadt,48.12647,11.54958,Entire home/apt,,6,7,2019-10-13,0.10,1,0,0,
32099931,Most Beautiful & Central Top Floor 3BR Apt. 105m2,20259904,Philip,,Altstadt-Lehel,48.13913,11.57337,Entire home/apt,311,3,23,2024-10-13,0.33,1,11,4,
32152566,Gorgeous central 4-room apartment,83017536,Denise,,Neuhausen-Nymphenburg,48.1576,11.53109,Entire home/apt,249,2,67,2024-09-09,0.96,1,335,16,
32197443,9 Minuten zum Oktoberfest | Direkt U3 Tierpark,226621752,Johannes,,Sendling,48.11525,11.54865,Entire home/apt,78,2,33,2024-11-24,0.47,1,201,7,
32233189,Sommer in München für zwei 2,141720292,Bettina,,Obergiesing,48.11742,11.57881,Private room,60,2,76,2024-12-08,1.12,2,274,11,
32245924,Ganze Wohnung zur Zwischenmiete (voll möbliert),48039243,Stefanie,,Pasing-Obermenzing,48.13606,11.45641,Entire home/apt,55,60,7,2024-12-14,0.10,1,169,1,
32277923,Gemütliches Privatzimmer in München - Oberföhring,239251616,Romana & Marcus,,Bogenhausen,48.17267,11.63253,Private room,,1,19,2024-09-29,0.27,1,0,1,
32287817,"Helles , großes, ruhiges Zimmer mit Bad und Balkon",216098556,Michael,,Bogenhausen,48.14918,11.62872,Private room,,14,37,2021-12-15,0.54,1,0,0,
32316962,Großzügige Altbauwohnung Schwabing /Maxvorstadt,1189831,Johannes,,Schwabing-West,48.156494140625,11.577808380126953,Entire home/apt,380,3,2,2019-08-08,0.03,1,170,0,
32329145,Romantische 1 Zimmer-Wohnung im ruhigen Hinterhof,17376507,Estelle,,Ludwigsvorstadt-Isarvorstadt,48.12617,11.55367,Entire home/apt,,1,6,2021-08-10,0.09,1,0,0,
32375880,One Room. Two People. A lot of comfort.,243104161,Alexandra,,Tudering-Riem,48.13968,11.68294,Hotel room,,1,5,2024-08-08,0.18,5,296,1,
32395058,Cosy room with WiFi near BMW,243251465,Martha,,Milbertshofen-Am Hart,48.1856,11.56686,Private room,,3,3,2021-03-26,0.04,2,0,0,
32399205,1️⃣ Zimmer/ Balkon 2 Personen Zentral,16555452,Mawin,,Sendling,48.11463,11.53764,Private room,190,2,0,,,3,365,0,
32410760,Nice room with WiFi and private kitchen,243251465,Martha,,Milbertshofen-Am Hart,48.1856,11.56764,Private room,,3,8,2020-04-30,0.11,2,0,0,
32435067,Aufenthalt in Galeriewohnung,87224925,Thibaut,,Neuhausen-Nymphenburg,48.16282,11.54077,Entire home/apt,,15,1,2019-03-04,0.01,1,0,0,
32490334,"Full and cozy apt, great view, near the center",10449135,Octavie,,Sendling,48.12506,11.54224,Entire home/apt,,2,2,2020-07-31,0.03,1,0,0,
32506430,Modernes Mini-Apartment -zentral an der Isar/UBahn,33748028,Manuel,,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,48.10214,11.54689,Entire home/apt,43,20,56,2024-12-05,0.80,1,66,10,
32529838,Gemütliche Wohnung am Stadtrand München - Solln,164401214,Simone,,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,48.08012008666992,11.502180099487305,Private room,40,1,21,2024-09-30,0.70,1,362,7,
32557907,Stadtapartment Glockenbachviertel,244673065,Simone,,Ludwigsvorstadt-Isarvorstadt,48.12653,11.5679,Entire home/apt,,3,29,2023-10-26,0.42,1,0,0,
32602783,Cosy room close city center and nature,2683682,Patricia,,Untergiesing-Harlaching,48.09869,11.56482,Private room,50,2,27,2024-12-06,0.39,1,151,10,
32605185,Cozy loft between Marienplatz & Gärtnerplatz,89480590,Sabrina,,Ludwigsvorstadt-Isarvorstadt,48.131,11.57887,Entire home/apt,180,3,26,2024-12-08,0.37,1,42,3,
32609223,Charming loft in the heart of Munich,245133019,Josef,,Altstadt-Lehel,48.13881,11.59286,Entire home/apt,174,2,120,2024-12-12,1.71,2,106,19,
32623960,schönes Zimmer,146612469,Priscila,,Ludwigsvorstadt-Isarvorstadt,48.12607763708942,11.572501339068314,Private room,62,1,0,,,2,69,0,
32636828,CASA Mozart am Goetheplatz,12137108,Stella & Martin,,Ludwigsvorstadt-Isarvorstadt,48.12931,11.55832,Entire home/apt,87,2,149,2024-12-24,2.11,1,103,39,
32649828,Chill's,21958507,Momchil,,Schwanthalerhöhe,48.13638,11.54606,Private room,,1,31,2024-07-10,0.45,1,0,9,
32662478,"Luxury apartment (modern,bright,renovated,quiet)",99385901,Hanno,,Sendling-Westpark,48.11272,11.52381,Entire home/apt,,7,1,2019-04-13,0.01,2,0,0,
32717899,"Light, big, central&modern room",13921310,Florian,,Schwabing-West,48.16274,11.56757,Private room,90,5,21,2024-08-09,0.30,3,365,1,
32736641,Dachgeschosszimmer Nähe Westpark,108796241,Günter,,Sendling-Westpark,48.12548,11.51765,Private room,66,2,32,2024-11-15,0.46,1,84,12,
32736952,Hell und charmant mit direkter Anbindung zu allem,243653896,Steffi,,Pasing-Obermenzing,48.15,11.46969,Entire home/apt,,95,7,2019-03-28,0.10,1,0,0,
32743061,THE DOT 5 - room in Design Pension,246034712,Mery,,Sendling-Westpark,48.11698,11.53024,Private room,90,1,15,2024-11-16,0.22,4,310,4,
32743696,THE DOT 9 - room in Design Pension,246034712,Mery,,Sendling-Westpark,48.11698,11.53024,Private room,90,1,11,2024-04-01,0.16,4,306,1,
32743898,THE DOT 3 - room in Design Pension,246034712,Mery,,Sendling-Westpark,48.11815,11.53092,Private room,120,1,17,2024-11-17,0.25,4,298,1,
32744062,THE DOT 8 - room in Design Pension,246034712,Mery,,Sendling-Westpark,48.11756,11.53097,Private room,147,1,9,2024-09-28,0.13,4,318,2,
32757651,Schöne aufgeräumt Wohnung mit Wintergarten.,171936876,Mo.Loudini,,Moosach,48.17914,11.51208,Private room,95,1,2,2023-10-01,0.13,1,269,0,
32779589,Super central & cosy room at Maxvorstadt,28046076,Theresa,,Maxvorstadt,48.15258,11.56251,Private room,,2,89,2024-06-26,1.26,2,0,6,
32780406,120qm Altbauwohnung in Schwabing/Olympiapark,246563531,Biggi,,Schwabing-West,48.16727,11.56486,Entire home/apt,464,3,1,2022-06-03,0.03,2,173,0,
32808173,Beautiful and charming studio in a super location,128649842,Diane,,Bogenhausen,48.15303,11.62133,Entire home/apt,,2,10,2021-08-01,0.15,1,0,0,
32906149,Urban Doppelzimmer,247574305,MOMA1890 Boutique Hotel,,Au-Haidhausen,48.12887,11.60442,Hotel room,,1,3,2019-06-09,0.04,6,180,0,
32907762,Treehouse in the heart of Munich / Mitten im Lehel,247584003,Christoph,,Altstadt-Lehel,48.13802,11.58796,Entire home/apt,,30,1,2019-08-04,0.02,1,0,0,
32931711,Cozy apartment in the city center with balcony,6978894,Hannah,,Ludwigsvorstadt-Isarvorstadt,48.13089,11.56504,Entire home/apt,,2,8,2022-09-29,0.12,1,0,0,
32948907,Family-A 2-BedR 4Zi-Apart 125 qm,247942551,Markus,,Neuhausen-Nymphenburg,48.15609,11.53146,Entire home/apt,200,5,0,,,1,178,0,
32957335,Wohnung in München Pasing,1740387,Johannes,,Pasing-Obermenzing,48.14757,11.45635,Entire home/apt,145,2,185,2024-10-16,2.66,1,208,41,
32984048,Very close to city center/Price negotiable/,248234639,Phil,,Sendling,48.1187,11.54315,Entire home/apt,,2,87,2022-10-27,1.25,1,0,0,
33034832,Sunny apartment with swimming pool and sauna,27111794,Susanne,,Sendling-Westpark,48.11336,11.52989,Entire home/apt,,270,4,2020-07-18,0.06,3,0,0,
