id,name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,availability_365,number_of_reviews,last_review
2931704,Quite location - perfect connectivity,Moosach,48.17871,11.49177,Entire home/apt,140.0,3,162,115,2024-09-24
2940196,Bright and Central Loft Apartment,Sendling-Westpark,48.11327,11.53326,Entire home/apt,78.0,180,278,17,2024-08-31
2942423,"(#1.1)Flat527sqf, 5min>MesseByTram",Berg am Laim,48.12808,11.61769,Entire home/apt,89.0,180,356,21,2022-12-10
2949717,Zimmer in schöner Wohnung in Haidhausen,Au-Haidhausen,48.12869,11.60489,Private room,70.0,3,80,148,2024-11-16
2981449,Quiet room for Bauma visitors,Schwanthalerhöhe,48.13034,11.54422,Private room,160.0,3,17,43,2024-10-01
3028008,"Flussnähe Isar, Zentral, Park, U-Bahn/Bus-Zimmer-1",Untergiesing-Harlaching,48.1143,11.56853,Private room,60.0,30,241,36,2024-09-29
3044351,"Beautiful, bright room, 24 sqm",Sendling,48.11913,11.54861,Private room,52.0,2,233,19,2019-10-06
3054425,Zimmer in WG zu vermieten ab 01.09.2018,Pasing-Obermenzing,48.1451,11.46088,Private room,50.0,2,264,30,2023-08-05
3169487,Schwabing-West for female guest,Maxvorstadt,48.1569,11.56361,Private room,57.0,2,282,486,2024-12-19
3189113,Ruhiges neu renoviertes Zimmer Stadt- und Messenah,Ramersdorf-Perlach,48.10289,11.61862,Private room,31.0,2,122,207,2024-11-14
3259937,"cozy studio avec balcon, à 15 minutes du centre !",Sendling-Westpark,48.12336876448951,11.53621914711167,Entire home/apt,169.0,2,7,4,2024-10-06
3329502,Family loves traveling - space now!,Ludwigsvorstadt-Isarvorstadt,48.12196,11.56141,Private room,74.0,1,99,25,2024-11-01
3375898,"Dach-Wohnung, Balkon (10 min walk to Oktoberfest)",Sendling,48.11282,11.55173,Entire home/apt,118.0,2,78,108,2024-10-06
3419577,Wunderschöne Wohnung mit Isarblick,Ludwigsvorstadt-Isarvorstadt,48.12231,11.56618,Entire home/apt,145.0,2,56,105,2019-11-07
3500931,Great flat for Oktoberfest - for couples or 4,Obergiesing,48.11622,11.5824,Entire home/apt,1200.0,28,364,13,2019-09-22
